门店ID,品牌品类,部门(新版),类别描述(新版),日历年(YYYY年),日历周(周一起),直营净零售数量
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W03,3
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W04,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W06,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W09,1
A00021S112,Metersbonwe品牌,内衣,女内裤,2018年,2018 W11,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W13,5
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W14,7
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W15,5
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W16,5
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W17,4
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W19,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W20,3
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W21,10
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W22,11
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W23,3
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W24,6
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W25,3
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W26,4
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W27,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W28,2
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W29,3
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W30,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W31,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W32,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W33,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W34,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W40,5
A00021S112,Metersbonwe品牌,内衣,男内衣,2017年,2017 W41,2
A00021S112,Metersbonwe品牌,内衣,男内衣,2018年,2018 W16,1
A00021S112,Metersbonwe品牌,内衣,男内衣,2018年,2018 W17,2
A00021S112,Metersbonwe品牌,内衣,男内衣,2018年,2018 W20,2
A00021S112,Metersbonwe品牌,内衣,男内衣,2018年,2018 W25,-1
A00021S112,Metersbonwe品牌,内衣,男内衣,2018年,2018 W42,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W01,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W02,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W03,23
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W04,12
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W05,19
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W06,9
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W07,15
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W08,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W09,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W10,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W11,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W12,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W13,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W14,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W15,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W16,16
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W17,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W18,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W19,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W20,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W21,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W22,13
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W23,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W24,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W25,6
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W26,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W27,9
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W28,16
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W29,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W30,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W31,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W32,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W33,9
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W34,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W35,16
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W36,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W37,16
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W38,9
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W39,6
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W40,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W41,14
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W42,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W43,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W44,14
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W45,17
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W46,14
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W47,12
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W48,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W49,17
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W50,14
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W51,15
A00021S112,Metersbonwe品牌,内衣,男内裤,2017年,2017 W52,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W01,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W02,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W03,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W04,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W05,16
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W06,15
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W07,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W08,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W09,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W10,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W11,11
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W12,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W13,15
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W14,4
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W15,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W16,14
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W17,5
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W18,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W19,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W20,6
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W21,10
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W22,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W23,7
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W24,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W25,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W26,8
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W27,6
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W28,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W29,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W30,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W32,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W35,6
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W37,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W38,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W39,3
A00021S112,Metersbonwe品牌,内衣,男内裤,2018年,2018 W42,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2019年,2019 W03,1
A00021S112,Metersbonwe品牌,内衣,男内裤,2019年,2019 W06,2
A00021S112,Metersbonwe品牌,内衣,男内裤,2019年,2019 W13,1
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W01,51
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W02,81
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W03,43
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W04,48
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W05,30
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W06,30
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W07,33
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W08,21
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W09,11
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W35,1
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W37,1
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W38,0
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W39,4
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W40,3
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W41,17
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W42,18
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W43,32
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W44,37
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W45,55
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W46,35
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W47,21
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W48,21
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W49,19
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W50,8
